car_age,km_driven,km_per_year,purchase_price,idv,is_luxury,is_premium,segment_multiplier,depreciation_factor,is_high_mileage,is_old_car,damage_count,total_area_frac,max_area_frac,avg_area_frac,avg_confidence,min_confidence,max_severity_score,avg_severity_score,count_dent,count_scratch,count_crack,count_glass_shatter,count_tire_flat,count_lamp_broken,has_glass_shatter,has_crack,has_lamp_broken,damage_value_ratio,claim_amount
7,70119,10017.0,413112,165245,0,0,1.0,0.4,0,1,3,0.11073486328125,0.080244140625,0.03691162109375,0.7525320961617107,0.5640367627349485,2,1.3333333333333333,1,0,0,0,0,2,0,0,1,0.4574590083984375,58308
7,82354,11764.857142857143,483707,193483,0,0,1.0,0.4,1,1,1,0.097138671875,0.097138671875,0.097138671875,0.5680388299643289,0.5680388299643289,2,2.0,0,0,1,0,0,0,0,1,0,0.4698665555664062,29427
1,10612,10612.0,2624551,2230868,0,1,2.0,0.85,0,0,1,0.0481103515625,0.0481103515625,0.0481103515625,0.8107042836111957,0.8107042836111957,1,1.0,0,0,0,0,0,1,0,0,1,1.2626807130371094,14729
3,33873,11291.0,1105310,773717,0,0,1.3,0.7,0,0,4,0.1496533203125,0.082548828125,0.037413330078125,0.7609376345172498,0.6506475934617433,2,1.25,0,0,1,1,1,1,1,1,1,1.654133114746094,75833
2,28591,14295.5,1320651,1056521,0,0,1.5,0.8,0,0,2,0.20032470703125,0.137666015625,0.100162353515625,0.6561961411146846,0.6444936782540847,2,2.0,0,1,0,0,0,1,0,0,1,2.6455902466552734,33090
3,30974,10324.666666666666,6350414,4445290,1,1,3.5,0.7,0,0,1,0.058193359375,0.058193359375,0.058193359375,0.9247183675433329,0.9247183675433329,2,2.0,1,0,0,0,0,0,0,0,0,3.695519240820313,44144
5,103789,20757.8,6926287,3463144,1,1,3.5,0.5,1,0,1,0.0416796875,0.0416796875,0.0416796875,0.5738393192023328,0.5738393192023328,1,1.0,0,0,0,0,0,1,0,0,1,2.8868547769531254,41722
10,158017,15801.7,1506805,602722,0,1,2.0,0.4,1,1,3,0.1238525390625,0.065390625,0.0412841796875,0.8380384148958234,0.6134882178294245,2,1.3333333333333333,0,0,0,0,3,0,0,0,0,1.8662162512207032,92694
1,21932,21932.0,1151083,978421,0,0,1.5,0.85,0,0,1,0.04640625,0.04640625,0.04640625,0.9035309291074416,0.9035309291074416,1,1.0,0,0,0,1,0,0,1,0,0,0.5341744546875,30843
2,34221,17110.5,4385185,3508148,1,1,3.5,0.8,0,0,1,0.097890625,0.097890625,0.097890625,0.8749746424188285,0.8749746424188285,2,2.0,0,0,0,0,1,0,0,0,0,4.29268500390625,34755
4,40274,10068.5,2585435,1551261,0,1,2.0,0.6,0,0,2,0.019755859375,0.016611328125,0.0098779296875,0.798480752728226,0.7803431155395055,1,1.0,0,0,0,0,1,1,0,0,1,0.5107749028320313,32362
5,90742,18148.4,1949287,974644,0,1,2.0,0.5,1,0,1,0.0404296875,0.0404296875,0.0404296875,0.8995235889503224,0.8995235889503224,1,1.0,0,0,0,1,0,0,1,0,0,0.788090642578125,55060
1,16004,16004.0,451599,383859,0,0,1.0,0.85,0,0,1,0.065107421875,0.065107421875,0.065107421875,0.6093981869671814,0.6093981869671814,2,2.0,0,1,0,0,0,0,0,0,0,0.29402446611328126,5300
8,103286,12910.75,632328,252931,0,0,1.0,0.4,1,1,3,0.17709960937500002,0.10212890625,0.05903320312500001,0.77402164604813,0.6981173659191506,2,1.3333333333333333,0,2,0,0,1,0,0,0,0,1.11985041796875,36315
2,21365,10682.5,7082495,5665996,1,1,3.5,0.8,0,0,1,0.0037353515625,0.0037353515625,0.0037353515625,0.7748317446459089,0.7748317446459089,1,1.0,0,0,0,0,0,1,0,0,1,0.26455608764648436,32625
1,12208,12208.0,4320641,3672545,1,1,3.5,0.85,0,0,1,0.02432373046875,0.02432373046875,0.02432373046875,0.5519416057866059,0.5519416057866059,1,1.0,0,0,0,0,1,0,0,0,0,1.0509410713623046,18944
0,0,0.0,7987188,7587829,1,1,3.5,0.95,0,0,3,0.1833251953125,0.1072802734375,0.061108398437499996,0.7771172638341811,0.6686938276090617,2,1.6666666666666667,0,0,2,0,1,0,0,1,0,14.642528000976561,150857
